Store Name,Store Address,Store Cross Street or Land Mark
Beverly Hills Farmers Market,"9300 Civic Center Dr. Beverly Hills, 90210",NA
Canoga Park Certified Farmers' Market,"7248 Owensmouth Ave. Canoga Park, CA 91303",NA
Certified Growing Experience Farmers Market 1,"750 E Via Carmelitos. Long Beach, CA 90805",NA
City Hall CFM,"200 North Main Street. Los Angeles, CA 90012",NA
CSULB CFM,"1212 N Bellflower Blvd.Long Beach, CA 90815",NA
HARBOR AREA CFM,"500 The Promenade North. Long Beach, CA 90802",NA
Historic Los Angeles Farmers' Market,"6333 Fifth Street Between Spring Street and Broadway. Los Angeles, CA 90013",NA
Huntington Park Farmers Market,"3401 E Florence Ave. Huntington Park, CA 90255",NA
Kaiser Permanente Baldwin Park CFM,"1011 Baldwin Park Blvd. Baldwin Park, CA 91706",NA
Kaiser Permanente Downey Farmers Market,"9353 E Imperial Hwy. Downey, CA 90242",NA
Kaiser South Bay,"25825 S Vermont Ave. Harbor City, CA90710",NA
Long Beach Downtown CFM,"641 Pine Ave. Long Beach, CA 90802",NA
Marina Del Rey Farmers' Market,"Lot 10 Parking, Mother's Beach. Marina del Rey, CA 90292",NA
Monterey Park Certified Farmers' Market,"318 S Ramona Ave. Monterey Park, CA 91754",NA
Newbury Park Certified Farmer's Market,"2331 Borchard Rd. Newbury Park, CA 90020",NA
Old L.A. Certified Farmers Market,"Marmion Way. Los Angeles, CA 90042",NA
Old Pasadena Farmers' Market,"E Holly Street Btw Raymond & Fair Oaks. Pasadena, CA 91105",NA
Santa Fe Springs CFM,"11740 Telegraph Rd. Santa Fe Springs, CA 90670",NA
SANTA MONICA CERTIFIED FRMRS MKT,"Arizona Ave & 2nd St. Santa Monica, CA 90401",NA
Santa Monica Farmers Market - Sat,"Arizona Ave. Santa Monica, CA 90401",NA
Silver Lake CFM,"1500 Block Of Griffith Park Blvd . Los Angeles, CA 90026",and 1500 Block of Edgecliff Dr
Southeast Long Beach Farmers' Market,"6530 Marina Dr. Long Beach, CA 90803",NA
Studio City Farmers Market,"Ventura Place. Studio City, CA 91604",NA
The Greener Good Farmers Markets,"2125 Santa Fe Ave. Long Beach, CA 90810",NA
Uptown Long Beach Farmers Market,"4600 Atlantic Ave. Long Beach, CA 90807",NA
Downtown Glendale Market,"209 N Louise St. Glendale , CA 91206
(40.909347, -89.51199)",NA
Eagle Rock Certified Farmers Market,"2035 Colorado Blvd. Los Angeles, CA 90041
(35.097943, -114.639213)",City Hall
Santa Monica Farmers Market - Pico,"2200 Virginia Ave. Santa Monica, CA 90404
(37.926616, -122.34839)",NA
PASADENA CERTIFIED FARMERS MARKET,"2925 Sierra Madre Blvd. PASADENA, CA 91107
(34.161596, -118.091308)",across from Pasadena HS
Advocates for Healthy Living Inc,"142 E Bonita Ave. San Dimas, CA 91773
(34.096244, -117.747427)",NA
La Cienega CFM at Kaiser WLA,"6041 Cadillac Ave. Los Angeles, CA 90034
(34.037627, -118.374908)",NA
Wellington Square Farmers Market,"4394 W Washington Blvd. Los Angeles, CA 90016
(34.03985, -118.335007)",NA
Echo Park Farmers' Market,"1220 Logan St. Los Angeles, CA 90026
(34.124806, -93.061936)",NA
Acw/ Charles Drew University Farmers Market CDU 2,"1147 S Alvarado St. Los Angeles, CA 90006
(34.048995, -118.281583)",NA
DTLA Pershing Square Wednesday CFM,"532 S Olive St. Los Angeles, CA 90013
(44.844056, -93.787707)",NA
Sustainable Economic Enterprises-Hollywood FM,"1600 Ivar Ave. Hollywood, CA 90028
(34.099784, -118.328199)",NA
Gardena Farmer's Market,"13000 Van Ness Ave. Gardena, CA 90249
(33.914375, -118.317807)",NA
