X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.553790756029684,34.23920053642837,151870547,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Northridge Certified Farmers' Market And Family Festival,9301 Tampa Ave,Northridge Fashion Center,Northridge,CA,"SITE HOURS: April through October, Wednesday, 5:00pm to 9:00pm. ",Mark Rochin Service/Intake and Administration (805) 643-6458,www.cafarmersmarkets.com,,,60938,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91324,http://egis3.lacounty.gov/lms/?p=60938,publish,34.23920057,-118.5537907,,2013-06-01T11:50:56.000Z,,6394296.08891231,1909890.99971998
-118.157349056902873,34.115745967021887,151870548,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,South Pasadena Certified Farmers' Market,Meridan Ave. & Mission St.,,South Pasadena,CA,"SITE HOURS: March through December, Thursday, 4:00pm to 8:00pm; January and February, Thursday, 4:00pm to 7:00pm. ",Greta Dunlap Service/Intake and Administration (626) 403-2820,www.cafarmersmarkets.com,,,60953,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91030,http://egis3.lacounty.gov/lms/?p=60953,publish,34.115746,-118.157349,,2013-06-01T11:50:56.000Z,,6514043.59974489,1864539.84993689
-118.185610456500754,33.942065677457173,151870549,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,South Gate Certified Farmers' Market,4855 Tweedy Blvd,South Gate Park| Parking Lot 3,South Gate,CA,,"Fannie Coates Earl Service/Intake and Administration (310) 635-7938, Dale Whitney Service/Intake (562) 983-1665",www.cafarmersmarkets.com,,,60957,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90280,http://egis3.lacounty.gov/lms/?p=60957,publish,33.94206571,-118.1856104,,2013-06-01T11:50:56.000Z,,6505372.67876655,1801348.81555806
-118.497698855459348,34.016990246682759,151870550,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Santa Monica Saturday Certified Farmers' Market,Arizona Ave & 3Rd St Prom,,Santa Monica,CA,,Mort Bernstein Service/Intake and Administration (310) 458-8712,www.cafarmersmarkets.com,,,60962,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90401,http://egis3.lacounty.gov/lms/?p=60962,publish,34.01699028,-118.4976988,,2013-06-01T11:50:56.000Z,,6410848.41145064,1828936.84929265
-118.422500256228361,34.146325526263865,151870551,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Studio City Certified Farmers' Market,Ventura Blvd & Ventura Blvd, ,Studio City,CA,,Carole Gallegos Service/Intake and Administration (818) 655-7744,www.cafarmersmarkets.com,,,60974,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91604,http://egis3.lacounty.gov/lms/?p=60974,publish,34.14632556,-118.4225002,,2013-06-01T11:50:56.000Z,,6433834.17420605,1875899.69893631
-118.374867055801857,33.776661967604284,151870552,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Palos Verdes Certified Farmers' Market,Hawthorne Blvd. & Silver Spur Rd.,Peninsula Center,Rolling Hills Estates,CA,,"Brian Weiss &amp; Carri Jackson Service/Intake and Administration (310) 324-3994",www.cafarmersmarkets.com,,,60979,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90274,http://egis3.lacounty.gov/lms/?p=60979,publish,33.776662,-118.374867,,2013-06-01T11:50:56.000Z,,6447744.80813013,1741314.72663698
-118.142882057048922,34.155069966867302,151870553,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Pasadena Villa Parke Certified Farmers' Market,363 E. Villa St.,,Pasadena,CA,,Gretchen Sterling Service/Intake and Administration (626) 449-0179,www.cafarmersmarkets.com,,,60994,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91101,http://egis3.lacounty.gov/lms/?p=60994,publish,34.15507,-118.142882,,2013-06-01T11:50:56.000Z,,6518442.84029022,1878844.02244398
-118.525110555364677,34.048285926646486,151874392,211,,Community Groups,Farmers Markets,,,Pacific Palisades Certified Farmers' Market,1037 N Swarthmore Ave,,Pacific Palisades,CA,"Sunday, 8:00am to 1:00pm. ",Lesley McAndrew Service/Intake and Administration (818) 591-8161,www.cafarmersmarkets.com,,,71020,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90272,http://egis3.lacounty.gov/lms/?p=71020,publish,34.04828596,-118.5251105,,2010-11-01T11:50:56.000Z,,6402601.1805698,1840368.07446164
-117.750366557886622,34.064548807152178,151874393,211,,Community Groups,Farmers Markets,,,Pomona Valley Certified Farmers' Market,N Garey Ave & W Pearl St,,Pomona,CA,"Saturday, 7:30am to 11:30am. ",Harry Brown-Hiegel Service/Intake and Administration (626) 588-1112,www.cafarmersmarkets.com,,,71023,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91766,http://egis3.lacounty.gov/lms/?p=71023,publish,34.06454884,-117.7503665,,2010-11-01T11:50:56.000Z,,6637276.14789872,1845964.8496854
-118.351067556255686,34.092575906371927,151874394,211,,Community Groups,Farmers Markets,,,West Hollywood Certified Farmers' Market,7377 Santa Monica Blvd,,West Hollywood,CA,"Monday, 9:00am to 2:00pm. ",Beth Smith Service/Intake and Administration (323) 848-6535,www.cafarmersmarkets.com,,,71025,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90046,http://egis3.lacounty.gov/lms/?p=71025,publish,34.09257594,-118.3510675,,2010-11-01T11:50:56.000Z,,6455379.19837314,1856256.16899773
