X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.361487055575509,33.943452967252519,151814342,211,,Social Services,Food Assistance,,,Catholic Charities Of Los Angeles - St. Margaret's Center,10217 Inglewood Ave.,,Lennox,CA,"Monday through Friday, 8:30am to 12:00 noon; and 1:00pm to 5:00pm. ","Catholic Counseling Services - John Sexton Service/Intake (310) 392-8701 Ext.105,  Service/Intake (310) 672-2208,  FAX (310) 672-1841",,www.CatholicCharitiesLA.org,,,1071,"The center provides advocacy, counseling services, emergency food, immigration services and utility bill assistance to individuals in the South Bay area.",90304,http://egis3.lacounty.gov/lms/?p=1071,publish,33.943453,-118.361487,2013-06-01T11:50:56.000Z,,6452029.38387856,1801998.84969106
-118.279814056787572,34.044385967329795,151814454,211,,Social Services,Food Assistance,,www.angelicalutheran.org/,Angelica Lutheran Church,1345 S. Burlington Ave.,,Los Angeles,CA,"Monday through Friday, 9:00am to 2:00pm. ","FAX (213) 384-0534,  Service/Intake and Administration (213) 382-6378",,,,,1171,"The church provides cultural enrichment, emergency food, health services and holiday assistance for people who live in Los Angeles zip codes 90006, 90015 and 90057.",90006,http://egis3.lacounty.gov/lms/?p=1171,publish,34.044386,-118.279814,2013-06-01T11:50:56.000Z,,6476903.41910414,1838651.29410256
-118.138431956915042,34.697883375673776,151814544,211,,Social Services,Food Assistance,,www.catalystfdn.org,"Catalyst Foundation , The",540 W Lancaster Blvd,,Lancaster,CA,"Monday through Thursday, 8:00am to 5:00pm; Friday, 8:00am to 12:00pm. ","Service/Intake and Administration (661) 949-7378,  FAX (661) 942-0022,  Service/Intake and Administration (661) 948-8559",,www.catalystfdn.org,,,1283,The foundation provides emergency food and HIV/AIDS services for Antelope Valley residents.,93534,http://egis3.lacounty.gov/lms/?p=1283,publish,34.69788341,-118.1384319,2013-06-01T11:50:56.000Z,,6520061.21631855,2076383.68937173
-118.198650656674545,33.775648117557544,151814602,211,,Social Services,Food Assistance,,,Bienestar Human Services - Long Beach Office,525 W 7Th St,,Long Beach,CA,"Monday through Friday, 9:00am to 6:00pm. ",Service/Intake and Administration (562) 628-9687,,www.bienestar.org/,,,1333,"The program provides emergency food and HIV/AIDS services for adolescents and adults in Los Angeles County at five locations; see site list for details.",90813,http://egis3.lacounty.gov/lms/?p=1333,publish,33.77564815,-118.1986506,2013-06-01T11:50:56.000Z,,6501297.76139148,1740792.98063323
-118.297451156205099,34.098283456598224,151814619,211,,Social Services,Food Assistance,,,Bienestar Human Services - Hollywood,4955 W Sunset Blvd,,Los Angeles,CA,"Monday through Friday, 9:00am to 7:00pm. ","Emergency Food Intake          Service/Intake (323) 727-7896 Ext.18,  FAX (323) 660-6279,  Service/Intake (323) 660-9680",,www.bienestar.org/,,,1335,"The program provides emergency food and HIV/AIDS services for adolescents and adults in Los Angeles County at five locations; see site list for details.",90027,http://egis3.lacounty.gov/lms/?p=1335,publish,34.09828349,-118.2974511,2013-06-01T11:50:56.000Z,,6471618.48971339,1858280.87853098
-118.042817056981619,34.065213967398485,151814633,211,,Social Services,Food Assistance,,,Bienestar Human Services - El Monte Office,3131 Santa Anita Ave.,,El Monte,CA,,Service/Intake (626) 444-9453,,www.bienestar.org/,,,1337,"The program provides emergency food and HIV/AIDS services for adolescents and adults in Los Angeles County at five locations; see site list for details.",91733,http://egis3.lacounty.gov/lms/?p=1337,publish,34.065214,-118.042817,2013-06-01T11:50:56.000Z,,6548702.55011189,1846115.78803182
-118.187736055917057,33.812000967536378,151814663,211,,Social Services,Food Assistance,,www.salvationarmy-socal.org,Salvation Army Corps Community Center - Long Beach,455 E. Spring St.,,Long Beach,CA,,"FAX (562) 988-0884,  Service/Intake (562) 426-7637",,www.salvationarmy-socal.org,,,1359,"This agency offers counseling services, emergency food, financial assistance, holiday assistance, social and recreational activities for youth and adults who live in Long Beach and Lakewood.",90806,http://egis3.lacounty.gov/lms/?p=1359,publish,33.812001,-118.187736,2013-06-01T11:50:56.000Z,,6504639.5591698,1754016.38955382
-118.306259056687594,34.181242966903717,151814673,211,,Social Services,Food Assistance,,www.salvationarmy-socal.org,Salvation Army Corps Community Center - Burbank,300 E. Angeleno,,Burbank,CA,,"FAX (818) 845-7274,  Service/Intake (818) 845-7214",,www.salvationarmy-socal.org,,,1360,"This agency provides counseling services, emergency food, holiday assistance, recreational programs and utility bill assistance for families, couples, and individuals who live in Burbank, North Hollywood, Sun Valley, Sunland and Tujunga.",91502,http://egis3.lacounty.gov/lms/?p=1360,publish,34.181243,-118.306259,2013-06-01T11:50:56.000Z,,6469043.93383889,1888479.23578507
-118.029564057020266,34.085519966960206,151814684,211,,Social Services,Food Assistance,,www.oursaviourcenter.org,Our Saviour Center,4368 Santa Anita Ave.,,El Monte,CA,"Monday through Friday, 9:00am to 5:00pm. ","FAX (626) 579-2689, Family Planning Service/Intake (626) 579-0290 Ext.100, Administration Service/Intake (626) 579-2190 Ext.116, Shelter Service/Intake (626) 579-0290 Ext.127, Clinic Service/Intake (626) 579-2190 Ext.100,  Service/Intake (626) 579-0290, Y",,www.oursaviourcenter.org,,,1364,"This center provides, emergency food, family planning, health services, recreational programs, and shelter for low-income people who live in El Monte and South El Monte.",91731,http://egis3.lacounty.gov/lms/?p=1364,publish,34.08552,-118.029564,2013-06-01T11:50:56.000Z,,6552718.59522939,1853504.08329456
-118.194127856119835,33.783388777613119,151865539,211,,Social Services,Food Assistance,,www.lbrm.org,Long Beach Rescue Mission,1335 Pacific Ave,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake and Administration (562) 591-1292, Long Beach Multi-Service Center Service/Intake (562) 733-1147,  FAX (562) 216-7667",,www.lbrm.org,,,56479,"The agency provides emergency food, shelter, clothing, counsel, spiritually-based adult rehabilitation transitional housing programs.",90813,http://egis3.lacounty.gov/lms/?p=56479,publish,33.78338881,-118.1941278,2013-06-01T11:50:56.000Z,,6502677.73960264,1743607.33524072
-118.491600055999086,34.194284966788665,151865551,211,,Social Services,Food Assistance,,www.jfsla.org/sova,Sova Community Food And Resource Program,16439 Vanowen St.,,Van Nuys,CA,,Service/Intake and Administration (818) 988-7682,,www.jfsla.org/sova,,,56573,"The administrative office provides information on Sova emergency food programs in West Hollywood, West Los Angeles, and Van Nuys.",91406,http://egis3.lacounty.gov/lms/?p=56573,publish,34.194285,-118.4916,2013-06-01T11:50:56.000Z,,6413012.11709698,1893447.86725198
-118.344015056215355,34.09147170670883,151865552,211,,Social Services,Food Assistance,,www.jfsla.org/sova,Sova Food Pantry And Resource Center - Metro,1140 N La Brea Ave,,Los Angeles,CA,,Service/Intake and Administration (818) 988-7682,,www.jfsla.org/sova,,,56574,"The administrative office provides information on Sova emergency food programs in West Hollywood, West Los Angeles, and Van Nuys.",90038,http://egis3.lacounty.gov/lms/?p=56574,publish,34.09147174,-118.344015,2013-06-01T11:50:56.000Z,,6457513.06844921,1855846.9496718
-118.491600055999086,34.194284966788665,151865553,211,,Social Services,Food Assistance,,www.jfsla.org/sova,Sova Food Pantry And Resource Center - Valley,16439 Vanowen St.,,Van Nuys,CA,,Service/Intake and Administration (818) 988-7682,,www.jfsla.org/sova,,,56575,"The administrative office provides information on Sova emergency food programs in West Hollywood, West Los Angeles, and Van Nuys.",91406,http://egis3.lacounty.gov/lms/?p=56575,publish,34.194285,-118.4916,2013-06-01T11:50:56.000Z,,6413012.11709698,1893447.86725198
