"id_foodfinders","name1","id_lms","name2","dist"
100,"Lutheran Social Services",236,"Lutheran Social Services Of Southern California - Long Beach Area Office",0.0411765143251465
98,"Long Beach Rescue Mission",10,"Long Beach Rescue Mission",0.172387830892212
128,"Christian Food Center",65,"Christian Food Center",1.74706300014202
168,"Lutheran Social Services",292,"San Pablo Lutheran Church - North Hollywood",2.89116189796509
155,"St. Francis Center",105,"St. Francis Center - Los Angeles",5.76654422791659
81,"Calvary Assembly Of God",75,"His Helping Hands",8.20871861843485
198,"Toberman Neighborhood Center",325,"Toberman Neighborhood Center",8.44873982935676
195,"Harbor Interfaith Service",25,"Harbor Interfaith Services Inc",10.4475067820409
131,"Faith In Christ Ministries",251,"Faith In Christ",10.4926559790593
16,"Catholic Charities",16,"Catholic Charities Of Los Angeles - Guadalupe Community Center",11.4154528661315
186,"Inland Valley Hope Partners",239,"Inland Valley Hope Partners",11.7114897349608
133,"Fred Jordan Mission",167,"Fred Jordan Mission",12.1359040015381
158,"Union Rescue Mission",32,"Union Rescue Mission",14.7183857881135
65,"Food Pantry LAX",92,"Food Pantry Lax Area",15.6699124701506
130,"Emmanuel Baptist Mission",35,"Emmanuel Baptist Rescue Mission",16.9905944551327
190,"St. Paul's United Methodist Church",68,"Amigos Sin Barreras - Friends Without Barriers - Circle Of Life Aids Food Pantry",18.5760004629888
54,"Salvation Army Stillman Sawyer Center",268,"Salvation Army - Stillman Sawyer Family Center",20.6314048848884
90,"Christian Outreach in Action",177,"Christian Outreach In Action",20.75541953047
80,"House Of Yahweh",36,"House Of Yahweh",21.6583350697724
136,"Greater West Hollywood Food Coalition",321,"Salvation Army - The Way In",23.8294529638932
88,"Catholic Charities",174,"Catholic Charities Of Los Angeles - San Pedro Region - Long Beach Community Services Center",24.2946479949849
85,"AIDS Food Store Of Long Beach",91,"Aids Food Store, The",26.1274496076339
95,"I Own It Today",91,"Aids Food Store, The",26.1274496076339
